Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission
Toyota,Avensis,2004,Universal,259819.0,2000.0,Petrol,Automatic
Mazda,CX-7,2008,Crossover,164000.0,2300.0,Petrol,Automatic
Citroen,Jumpy,2010,Microvan,145000.0,2000.0,Diesel,Manual
Opel,Corsa,2012,Hatchback,183000.0,1300.0,Diesel,Manual
Hyundai,Santa FE,2008,Crossover,255000.0,220.0,Diesel,Automatic
Toyota,C-HR,2018,Crossover,99917.0,1800.0,Hybrid,Automatic
Lexus,IS Series,2016,Sedan,100000.0,2000.0,Petrol,Automatic
Vaz,2107,2008,Universal,29000.0,1600.0,Petrol,Manual
Ford,Fusion,2016,Sedan,14582.0,2000.0,Petrol,Automatic
Renault,Grand Scenic,2015,Minivan,123580.0,1500.0,Diesel,Automatic
Toyota,Avensis,2016,Universal,187000.0,2200.0,Diesel,Automatic
Dacia,Duster,2010,Crossover,180000.0,1500.0,Diesel,Manual
Citroen,C3,2012,Hatchback,99535.0,1400.0,Diesel,Manual
Mercedes,E Class,2001,Sedan,200000.0,200.0,Diesel,Automatic
Hyundai,Santa FE,2016,SUV,69000.0,2199.0,Diesel,Automatic
Audi,A6,1999,Universal,316000.0,2800.0,Petrol,Manual
Honda,CR-V,2002,Sedan,320000.0,2400.0,Petrol,Automatic
Renault,Megane,2013,Universal,198765.0,1500.0,Diesel,Manual
Mercedes,B Class,2016,Sedan,50000.0,1950.0,Diesel,Automatic
Renault,Megane,2012,Universal,172000.0,1500.0,Diesel,Manual
Seat,Alhambra,1999,Minivan,251000.0,2000.0,Metan/Propan,Manual
Renault,Laguna,2012,Hatchback,178000.0,1461.0,Diesel,Manual
Opel,Astra,2009,Hatchback,190000.0,1300.0,Diesel,Manual
Volkswagen,Golf,2005,Hatchback,197057.0,1898.0,Diesel,Automatic
Opel,Combo,2007,Universal,263000.0,1300.0,Diesel,Manual
Honda,CR-V,2018,Crossover,57000.0,1500.0,Petrol,Automatic
Toyota,Avensis,2011,Universal,182000.0,1800.0,Petrol,Automatic
Volkswagen,Golf,1990,Crossover,65000.0,1300.0,Petrol,Manual
Opel,Zafira,2003,Minivan,1800.0,1800.0,Petrol,Manual
BMW,3 Series,2006,Sedan,300000.0,2000.0,Diesel,Manual
Nissan,Primera,2006,Hatchback,250000.0,1800.0,Petrol,Manual
Nissan,Qashqai,2014,Crossover,171000.0,1500.0,Diesel,Manual
Ford,Fusion,2017,Sedan,106000.0,2000.0,Plug-in Hybrid,Automatic
Mercedes,A Class,2016,Hatchback,158000.0,1500.0,Diesel,Automatic
Hyundai,Tucson,2005,Crossover,148000.0,200.0,Diesel,Manual
Opel,Vectra,2003,Hatchback,20000.0,2200.0,Diesel,Manual
Skoda,Yeti,2013,Crossover,242000.0,2000.0,Diesel,Manual
Ford,Fusion,2014,Sedan,177870.0,2000.0,Hybrid,Automatic
Mercedes,C Class,2001,Sedan,365000.0,2700.0,Diesel,Automatic
Nissan,Qashqai+2,2012,Crossover,210438.0,1500.0,Diesel,Manual
Volvo,V60,2015,Universal,248000.0,2400.0,Plug-in Hybrid,Automatic
Mitsubishi,Carisma,2003,Hatchback,430000.0,1900.0,Diesel,Manual
Opel,Astra,2004,Universal,340000.0,1600.0,Metan/Propan,Manual
Opel,Astra,2005,Hatchback,224555.0,1400.0,Petrol,Manual
Toyota,Yaris,2003,Hatchback,251139.0,1000.0,Petrol,Manual
Nissan,Qashqai,2010,Crossover,230000.0,1500.0,Diesel,Manual
BMW,5 Series,2013,Universal,233600.0,2000.0,Diesel,Automatic
Dacia,Logan Mcv,2019,Universal,23500.0,1500.0,Diesel,Manual
Skoda,Octavia,2005,Hatchback,280000.0,1600.0,Petrol,Manual
Volvo,V60,2013,Combi,178000.0,2400.0,Plug-in Hybrid,Automatic
Skoda,Octavia,2010,Universal,205000.0,1400.0,Petrol,Manual
BMW,3 Series,1995,Sedan,274525.0,1665.0,Diesel,Manual
Dodge,Challenger,2015,Coupe,105000.0,3604.0,Petrol,Automatic
Audi,80,1994,Sedan,266000.0,2000.0,Petrol,Manual
Seat,Ibiza,2011,Hatchback,258000.0,1200.0,Diesel,Manual
Volkswagen,Caddy,2015,Combi,164800.0,1600.0,Diesel,Manual
Toyota,Avensis,2012,Universal,210000.0,1796.0,Petrol,Automatic
Opel,Zafira,2018,Universal,74000.0,1600.0,Diesel,Manual
Skoda,Fabia,2016,Hatchback,40000.0,1400.0,Diesel,Automatic
Mercedes,Vito,1997,Microvan,220000.0,2300.0,Diesel,Manual
Land Rover,Range Rover Sport,2008,SUV,25000.0,2700.0,Diesel,Automatic
Dacia,Logan,2018,Sedan,67000.0,1000.0,Petrol,Manual
Mercedes,S Class,2011,Sedan,170000.0,2987.0,Diesel,Automatic
Mercedes,M Class,2015,SUV,139000.0,2500.0,Diesel,Automatic
Suzuki,Liana,2007,Combi,210000.0,1400.0,Diesel,Manual
Volkswagen,Caddy,2006,Universal,320000.0,1400.0,Petrol,Manual
Skoda,Octavia,2011,Combi,211000.0,1200.0,Metan/Propan,Manual
Renault,Espace,2016,Universal,180000.0,1600.0,Diesel,Automatic
Honda,Accord,2018,Sedan,30000.0,1500.0,Petrol,Automatic
Dacia,Duster,2011,SUV,107000.0,1500.0,Diesel,Manual
BMW,X3,2008,SUV,260000.0,1995.0,Diesel,Manual
Opel,Corsa,2004,Hatchback,279252.0,1400.0,Petrol,Manual
Mercedes,E Class,1997,Sedan,300000.0,200.0,Metan/Propan,Automatic
BMW,5 Series,1991,Sedan,80000.0,2000.0,Petrol,Manual
Mercedes,E Class,2003,Sedan,364000.0,3222.0,Diesel,Automatic
Infiniti,FX,2007,Crossover,200000.0,4500.0,Metan/Propan,Automatic
Hyundai,IONIQ,2017,Hatchback,95459.0,1580.0,Hybrid,Automatic
Toyota,Prius,2012,Hatchback,125000.0,1800.0,Hybrid,Automatic
Mercedes,S Class,2003,Sedan,11111.0,3724.0,Metan/Propan,Automatic
BMW,X5,2006,Crossover,276000.0,3000.0,Metan/Propan,Automatic
Toyota,Corolla,2005,Hatchback,300000.0,1400.0,Diesel,Automatic
Skoda,Octavia,2007,Sedan,215000.0,1600.0,Metan/Propan,Manual
Volkswagen,Passat,1999,Universal,290000.0,1600.0,Petrol,Manual
Opel,Astra,2005,Universal,220500.0,1400.0,Metan/Propan,Manual
Toyota,Prius,2014,Sedan,140000.0,800.0,Plug-in Hybrid,Automatic
Renault,Grand Scenic,2012,Minivan,235000.0,1500.0,Diesel,Automatic
Audi,80,1994,Sedan,347875.0,2000.0,Metan/Propan,Manual
Dacia,Duster,2012,Crossover,190000.0,1500.0,Diesel,Manual
Nissan,Qashqai,2015,Crossover,120000.0,1200.0,Petrol,Automatic
BMW,5 Series,2010,Sedan,256000.0,3000.0,Diesel,Automatic
Dacia,Logan Mcv,2008,Universal,350000.0,1400.0,Metan/Propan,Manual
Porsche,Cayenne,2012,SUV,187000.0,3000.0,Diesel,Automatic
Toyota,Land Cruiser Prado,2014,SUV,35000.0,2694.0,Petrol,Automatic
Nissan,X-Trail,2004,Crossover,111111.0,1111.0,Diesel,Manual
Nissan,Qashqai,2007,Crossover,254548.0,2000.0,Petrol,Automatic
Honda,Accord,2018,Sedan,30000.0,1999.0,Hybrid,Automatic
Toyota,Rav 4,2014,Crossover,168000.0,2000.0,Diesel,Manual
Volkswagen,Caddy,2015,Minivan,168346.0,1395.0,Metan/Propan,Manual
Toyota,Corolla,2007,Hatchback,187000.0,1400.0,Diesel,Automatic
Opel,Astra,2011,Universal,198000.0,1300.0,Diesel,Manual
Toyota,Auris,2009,Hatchback,125000.0,1400.0,Diesel,Manual
Toyota,Carina,1991,Sedan,470100.0,1000.0,Petrol,Manual
Ford,Escort,1990,Hatchback,230000.0,1600.0,Petrol,Manual
Ford,C-Max,2014,Universal,69000.0,1000.0,Petrol,Manual
Audi,A7,2012,Sedan,158000.0,3000.0,Petrol,Automatic
Audi,80,1994,Universal,270000.0,1600.0,Petrol,Manual
Opel,Astra,2003,Universal,250000.0,1600.0,Metan/Propan,Manual
Vaz,2106,1979,Sedan,89000.0,1600.0,Petrol,Manual
Skoda,Rapid,2015,Hatchback,175000.0,1400.0,Diesel,Manual
Volvo,S90,2018,Sedan,23000.0,2000.0,Petrol,Automatic
KIA,Picanto,2005,Hatchback,130000.0,1090.0,Petrol,Manual
Toyota,Auris,2018,Hatchback,95000.0,1400.0,Diesel,Manual
Volkswagen,Jetta,2006,Sedan,243000.0,2480.0,Metan/Propan,Automatic
Mercedes,E Class,2004,Sedan,36500.0,3200.0,Diesel,Automatic
Opel,Vectra,1993,Sedan,1111.0,1600.0,Metan/Propan,Manual
Opel,Corsa,2003,Hatchback,279325.0,1400.0,Petrol,Automatic
Opel,Kadett,1989,Universal,230000.0,1600.0,Petrol,Manual
Ford,Taurus,1995,Sedan,67000.0,3000.0,Petrol,Automatic
Dacia,Logan Mcv,2007,Universal,246000.0,1461.0,Diesel,Manual
Honda,Jazz,2007,Hatchback,160000.0,1400.0,Petrol,Automatic
Mitsubishi,Pajero,2008,SUV,210000.0,3200.0,Diesel,Automatic
Toyota,Yaris,2006,Hatchback,232000.0,1400.0,Diesel,Manual
Hyundai,Santa FE,2014,SUV,193000.0,2200.0,Diesel,Automatic
Audi,100,1988,Sedan,234786.0,2200.0,Petrol,Manual
Skoda,Octavia,2013,Sedan,130884.0,1200.0,Petrol,Automatic
Honda,CR-V,2017,SUV,78500.0,1500.0,Petrol,Automatic
Renault,Laguna,2003,Hatchback,320000.0,1600.0,Metan/Propan,Manual
Toyota,Avensis Verso,2006,Minivan,210000.0,2000.0,Diesel,Manual
Volkswagen,Touran,2004,Universal,290000.0,1900.0,Diesel,Manual
Porsche,Cayenne,2011,Crossover,225124.0,3000.0,Hybrid,Automatic
Mercedes,M Class,2005,SUV,195400.0,2700.0,Diesel,Automatic
Toyota,Land Cruiser,2008,SUV,240000.0,4500.0,Diesel,Automatic
Dacia,Sandero,2009,Hatchback,191000.0,1400.0,Metan/Propan,Manual
Audi,A6,2018,Sedan,48000.0,1998.0,Petrol,Automatic
Opel,Astra,2006,Universal,255000.0,1300.0,Diesel,Manual
Volkswagen,Tiguan,2012,Crossover,165796.0,2000.0,Petrol,Automatic
Nissan,Primera,2000,Universal,40000.0,2000.0,Petrol,Manual
Renault,Grand Scenic,2004,Minivan,199999.0,1500.0,Diesel,Manual
Chevrolet,Nubira,2006,Universal,112000.0,1600.0,Petrol,Manual
Renault,Grand Scenic,2010,Universal,201145.0,1462.0,Diesel,Automatic
Vaz,Priora,2008,Sedan,125000.0,1596.0,Petrol,Manual
KIA,Niro,2017,Crossover,157000.0,1600.0,Hybrid,Automatic
Mercedes,GLK Class,2013,Crossover,218000.0,2200.0,Diesel,Automatic
Skoda,Superb,2013,Universal,134900.0,1800.0,Petrol,Automatic
Hyundai,Santa FE,2016,SUV,133000.0,2000.0,Diesel,Automatic
Volkswagen,Caddy,2006,Minivan,264000.0,1900.0,Diesel,Manual
BMW,5 Series,2001,Universal,340000.0,2500.0,Diesel,Automatic
BMW,X5,2017,SUV,70500.0,3000.0,Petrol,Automatic
KIA,Sportage,2019,Crossover,24000.0,1995.0,Diesel,Automatic
Hyundai,ix35,2011,Crossover,161000.0,2000.0,Metan/Propan,Automatic
Mercedes,E Class,2017,Sedan,120000.0,2000.0,Metan/Propan,Automatic
Volkswagen,Passat,2017,Sedan,80000.0,2000.0,Petrol,Automatic
Hyundai,Tucson,2005,Crossover,197000.0,200.0,Petrol,Manual
Opel,Corsa,2008,Hatchback,125000.0,1400.0,Petrol,Manual
Lexus,RX Series,2014,SUV,56000.0,3500.0,Hybrid,Automatic
Ssangyong,Musso,1996,SUV,260000.0,3000.0,Diesel,Manual
Volkswagen,Golf,2002,Hatchback,380000.0,1899.0,Diesel,Manual
Renault,19,1990,Sedan,296266.0,1400.0,Petrol,Manual
BMW,3 Series,2014,Sedan,105217.0,2000.0,Petrol,Automatic
Fiat,500,2015,Hatchback,84000.0,1400.0,Petrol,Automatic
BMW,3 Series,2001,Coupe,208000.0,2200.0,Petrol,Manual
Lexus,Es Series,2012,Sedan,116000.0,2500.0,Hybrid,Automatic
Opel,Zafira,2007,SUV,23145.0,1800.0,Metan/Propan,Manual
Mercedes,C Class,2005,Hatchback,125000.0,2200.0,Diesel,Manual
Hyundai,Getz,2004,Hatchback,22000.0,1500.0,Diesel,Manual
BMW,3 Series,2011,Sedan,188345.0,1995.0,Diesel,Manual
Mercedes,E Class,2006,Sedan,304000.0,2200.0,Diesel,Manual
Ford,Fusion,2004,Hatchback,248000.0,1400.0,Diesel,Automatic
Nissan,Qashqai,2007,Crossover,202000.0,1500.0,Diesel,Manual
Nissan,Qashqai,2010,Crossover,205000.0,1500.0,Diesel,Manual
Chevrolet,Aveo,2010,Sedan,350000.0,1200.0,Metan/Propan,Manual
Nissan,Qashqai,2008,Crossover,115000.0,2000.0,Petrol,Automatic
Toyota,Corolla,2016,Sedan,12000.0,1400.0,Petrol,Manual
Dacia,Logan Mcv,2016,Universal,146000.0,1200.0,Metan/Propan,Manual
BMW,5 Series,2013,Universal,327000.0,2000.0,Diesel,Automatic
Volkswagen,Passat,2006,Universal,215000.0,2000.0,Diesel,Automatic
Skoda,Octavia,2005,Hatchback,189000.0,2000.0,Diesel,Automatic
Hyundai,ix35,2010,Crossover,200000.0,2000.0,Petrol,Automatic
Volkswagen,Transporter,2014,Minivan,176727.0,2000.0,Diesel,Automatic
Vaz,Oka,2001,Hatchback,40000.0,750.0,Petrol,Manual
Audi,A4,2012,Cabriolet,178260.0,2000.0,Diesel,Automatic
BMW,5 Series,1991,Sedan,320000.0,2500.0,Petrol,Manual
Dacia,Logan,2008,Universal,260000.0,1500.0,Diesel,Manual
Toyota,Avensis Verso,2005,Minivan,212950.0,2000.0,Diesel,Manual
Renault,Kangoo,2014,Minivan,175000.0,1461.0,Diesel,Manual
Honda,CR-V,2002,SUV,250000.0,2000.0,Petrol,Manual
BMW,3 Series,2012,Sedan,150000.0,2000.0,Diesel,Automatic
Lexus,RX Series,2016,Sedan,50000.0,3500.0,Hybrid,Automatic
BMW,3 Series,2020,Sedan,74930.0,2000.0,Diesel,Automatic
Renault,Scenic,2008,Hatchback,186088.0,1500.0,Diesel,Manual
Ford,Transit Connect,2002,Universal,200000.0,200.0,Diesel,Manual
Audi,A4,2012,Universal,235000.0,1996.0,Diesel,Automatic
Mazda,626,1990,Hatchback,200000.0,200.0,Petrol,Manual
Opel,Frontera,1993,SUV,251000.0,2400.0,Metan/Propan,Manual
Volkswagen,Golf,2007,Hatchback,181000.0,1400.0,Petrol,Manual
Opel,Corsa,2012,Hatchback,193000.0,1248.0,Diesel,Manual
Renault,Clio,2009,Universal,198000.0,1500.0,Diesel,Manual
Mercedes,E Class,2012,Sedan,187317.0,2200.0,Diesel,Automatic
Subaru,Legacy,1994,Sedan,123456.0,2000.0,Petrol,Manual
Skoda,Fabia,2014,Universal,115000.0,1199.0,Diesel,Manual
BMW,1 Series,2012,Hatchback,103640.0,1600.0,Petrol,Manual
Ford,Fiesta,1985,Hatchback,123456.0,1100.0,Petrol,Manual
Opel,Zafira,2004,Minivan,1234.0,1600.0,Metan/Propan,Manual
Mercedes,GLC,2015,SUV,48000.0,2000.0,Petrol,Automatic
Renault,Espace,1994,Minivan,190000.0,2000.0,Petrol,Manual
Volkswagen,Caddy,2012,Minivan,162000.0,1600.0,Diesel,Manual
Mercedes,Viano,2006,Minivan,418000.0,2200.0,Diesel,Automatic
Volkswagen,Golf,2015,Hatchback,173856.0,1400.0,Plug-in Hybrid,Automatic
Toyota,Yaris,2005,Hatchback,187000.0,1300.0,Petrol,Manual
BMW,5 Series,2012,Sedan,219000.0,2000.0,Diesel,Automatic
Mercedes,S Class,1993,Sedan,221539.0,3200.0,Metan/Propan,Automatic
Ford,Fusion,2006,Hatchback,167000.0,1400.0,Diesel,Manual
Mercedes,GLC,2016,SUV,193810.0,2000.0,Petrol,Automatic
Seat,Leon,2007,Hatchback,248341.0,2000.0,Diesel,Manual
Volkswagen,Touareg,2005,SUV,242400.0,2500.0,Diesel,Manual
Mitsubishi,Outlander,2017,Crossover,50820.0,2000.0,Plug-in Hybrid,Automatic
Daewoo,Kalos,2004,Hatchback,173960.0,1450.0,Petrol,Manual
Toyota,Auris,2013,Hatchback,140000.0,1400.0,Diesel,Manual
Honda,Accord,2005,Sedan,156000.0,2400.0,Petrol,Automatic
Volkswagen,Caddy,2008,Minivan,250000.0,1900.0,Diesel,Manual
Mercedes,E Class,2011,Sedan,1111.0,1800.0,Metan/Propan,Automatic
Renault,Grand Scenic,2013,Universal,178000.0,1500.0,Diesel,Automatic
Suzuki,Vitara,2017,Crossover,58590.0,1400.0,Petrol,Automatic
Volkswagen,Tiguan,2017,Crossover,175000.0,1968.0,Diesel,Manual
Renault,Talisman,2016,Universal,160000.0,1500.0,Diesel,Manual
Suzuki,SX4,2011,Crossover,120000.0,1500.0,Petrol,Manual
Volvo,400 Series,1995,Sedan,140000.0,2000.0,Petrol,Manual
Mercedes,E Class,2008,Sedan,245000.0,2200.0,Diesel,Automatic
Mitsubishi,Lancer,1993,Universal,340000.0,2000.0,Diesel,Manual
Renault,Trafic,2007,Universal,123456.0,1900.0,Diesel,Manual
Nissan,Sunny,1993,Hatchback,214600.0,1400.0,Petrol,Manual
Mitsubishi,Outlander,2015,Crossover,154000.0,2000.0,Plug-in Hybrid,Automatic
Jeep,Wrangler,2019,SUV,4700.0,2200.0,Diesel,Automatic
BMW,3 Series,1995,Sedan,230000.0,1600.0,Petrol,Manual
Dacia,Duster,2017,SUV,130000.0,1500.0,Diesel,Manual
Skoda,Fabia,2013,Universal,156000.0,1200.0,Petrol,Automatic
Toyota,Corolla,2015,Sedan,136461.0,1400.0,Diesel,Manual
Volkswagen,Touran,2007,Microvan,160000.0,1389.0,Petrol,Manual
Opel,Astra,2010,Hatchback,93000.0,1400.0,Petrol,Manual
BMW,X5,2006,Crossover,127000.0,3000.0,Petrol,Automatic
Renault,Megane,2005,Sedan,232322.0,1500.0,Diesel,Manual
Mercedes,E Class,2014,Sedan,285000.0,2200.0,Diesel,Automatic
Nissan,Qashqai,2018,Crossover,10000.0,1598.0,Diesel,Automatic
BMW,3 Series,2008,Sedan,23456.0,2500.0,Diesel,Manual
Mercedes,E Class,2010,Universal,360000.0,2200.0,Diesel,Automatic
Toyota,Camry,2016,Sedan,190564.0,2500.0,Hybrid,Automatic
Mercedes,M Class,2012,Universal,234428.0,2200.0,Diesel,Automatic
Audi,A5,2011,Coupe,139000.0,2000.0,Petrol,Automatic
Volkswagen,Golf,1996,Hatchback,273881.0,1600.0,Petrol,Manual
Volkswagen,Golf,2011,Hatchback,137000.0,1400.0,Petrol,Manual
Nissan,Qashqai,2014,Crossover,162000.0,1500.0,Diesel,Manual
Toyota,Land Cruiser,2002,SUV,125000.0,4500.0,Metan/Propan,Manual
Renault,Scenic,2012,Microvan,240000.0,1500.0,Diesel,Manual
Mitsubishi,Altele,1992,Sedan,300000.0,3000.0,Metan/Propan,Automatic
Hyundai,Santa FE,2016,Crossover,133499.0,2200.0,Diesel,Automatic
Chevrolet,Aveo,2010,Sedan,221000.0,1206.0,Petrol,Manual
Mitsubishi,Colt,2006,Cabriolet,159000.0,1468.0,Petrol,Manual
Mercedes,E Class,2015,Sedan,245000.0,2143.0,Diesel,Automatic
Volvo,V40,2015,Crossover,170000.0,2000.0,Diesel,Manual
Volkswagen,Passat,1996,Sedan,87000.0,1600.0,Petrol,Manual
Mitsubishi,Outlander,2003,Crossover,260607.0,2000.0,Metan/Propan,Manual
Audi,A8,2006,Sedan,320000.0,4200.0,Metan/Propan,Automatic
Hyundai,Tucson,2018,Crossover,78000.0,1995.0,Diesel,Automatic
Lexus,CT Series,2015,Hatchback,168862.0,1800.0,Hybrid,Automatic
Skoda,Fabia,2004,Universal,26700.0,1422.0,Diesel,Manual
Volkswagen,Polo,2011,Hatchback,160000.0,1199.0,Diesel,Manual
Hyundai,Santa FE,2016,SUV,149000.0,2199.0,Diesel,Automatic
Opel,Astra,2015,Universal,134000.0,1300.0,Diesel,Manual
Toyota,Corolla,2003,Hatchback,230000.0,1995.0,Diesel,Manual
Skoda,Fabia,2005,Hatchback,235000.0,1200.0,Petrol,Manual
BMW,X6,2015,Crossover,205000.0,3000.0,Diesel,Automatic
Volkswagen,Golf Plus,2005,Hatchback,270000.0,1900.0,Diesel,Manual
Suzuki,Vitara,2015,Crossover,70485.0,1373.0,Petrol,Automatic
Opel,Vectra,1994,Sedan,350200.0,2000.0,Petrol,Manual
Audi,Q5,2014,SUV,64949.0,3000.0,Diesel,Automatic
BMW,7 Series,1994,Sedan,200000.0,3000.0,Petrol,Automatic
Renault,Laguna,2013,Hatchback,270000.0,1500.0,Diesel,Manual
Skoda,Felicia,1997,Hatchback,223000.0,1300.0,Petrol,Manual
Volvo,XC90,2016,Crossover,140000.0,2000.0,Diesel,Automatic
Mercedes,E Class,1999,Sedan,216000.0,2400.0,Petrol,Manual
Ford,Fusion,2013,Sedan,152000.0,2000.0,Hybrid,Automatic
BMW,5 Series,1995,Sedan,422222.0,2000.0,Metan/Propan,Manual
Skoda,Octavia,2007,Universal,130000.0,2000.0,Petrol,Manual
Dacia,Lodgy,2012,Universal,190000.0,1461.0,Diesel,Manual
Audi,Q5,2013,Crossover,167777.0,1998.0,Hybrid,Automatic
Nissan,X-Trail,2006,Crossover,310000.0,2200.0,Diesel,Manual
Skoda,Superb,2017,Universal,159325.0,1600.0,Diesel,Automatic
Mercedes,Citan,2013,Minivan,208000.0,1500.0,Diesel,Manual
Skoda,Fabia,2012,Universal,180000.0,1200.0,Diesel,Manual
Audi,Q3,2015,SUV,170000.0,2000.0,Petrol,Automatic
Hyundai,Santa FE,2006,Crossover,193000.0,2200.0,Diesel,Automatic
Dacia,Duster,2016,Crossover,162000.0,1500.0,Diesel,Manual
Renault,Scenic,2007,Minivan,26000.0,1461.0,Diesel,Manual
Opel,Vectra,2008,Sedan,180000.0,1600.0,Petrol,Manual
Peugeot,107,2006,Coupe,262137.0,1000.0,Petrol,Manual
Mercedes,C Class,2005,Sedan,200000.0,2000.0,Petrol,Automatic
KIA,Sephia,1995,Sedan,260000.0,1500.0,Petrol,Manual
Skoda,Superb,2018,Hatchback,138000.0,2000.0,Diesel,Automatic
Opel,Corsa,2008,Sedan,1111.0,1300.0,Diesel,Automatic
Volkswagen,Passat,2002,Universal,405587.0,1900.0,Diesel,Manual
Nissan,Qashqai,2014,Crossover,219000.0,1500.0,Diesel,Manual
Volkswagen,Passat,2018,Sedan,25000.0,2000.0,Petrol,Automatic
Honda,CR-V,2008,Crossover,225000.0,2000.0,Metan/Propan,Automatic
Suzuki,Jimny,2007,Cabriolet,140000.0,1340.0,Petrol,Manual
Seat,Altea,2007,Hatchback,179000.0,1600.0,Petrol,Manual
Honda,Accord,2000,Sedan,300000.0,1600.0,Metan/Propan,Manual
BMW,X5,2016,Crossover,56000.0,2000.0,Plug-in Hybrid,Automatic
Opel,Astra,2007,Universal,184858.0,1300.0,Diesel,Manual
Volkswagen,Eos,2008,Cabriolet,229000.0,1986.0,Diesel,Manual
BMW,X5,2016,Crossover,86000.0,2000.0,Plug-in Hybrid,Automatic
BMW,5 Series,2000,Sedan,280000.0,3000.0,Petrol,Manual
Nissan,Micra,2009,Hatchback,85000.0,1400.0,Petrol,Automatic
Lexus,IS Series,2014,Sedan,185000.0,2500.0,Hybrid,Automatic
Renault,Kangoo,2004,Universal,225000.0,1200.0,Petrol,Manual
Dodge,Avenger,2008,Sedan,187000.0,2000.0,Petrol,Automatic
BMW,X5,2003,Crossover,200000.0,3000.0,Diesel,Manual
Volkswagen,Polo,1998,Sedan,76522.0,1600.0,Petrol,Manual
Ford,Kuga,2018,Crossover,175000.0,1500.0,Diesel,Automatic
Toyota,Avensis,2012,Sedan,155000.0,2200.0,Diesel,Automatic
Volkswagen,Tiguan,2013,SUV,135000.0,1400.0,Petrol,Manual
Volkswagen,Passat,2016,Universal,199000.0,1600.0,Diesel,Automatic
Opel,Insignia,2010,Universal,200000.0,200.0,Diesel,Manual
Mitsubishi,Galant,1989,Sedan,111111.0,2000.0,Petrol,Manual
Toyota,Camry,2017,Sedan,66003.0,2500.0,Hybrid,Automatic
BMW,7 Series,2009,Sedan,130000.0,4000.0,Petrol,Automatic
Toyota,Corolla,2003,Hatchback,270000.0,1400.0,Petrol,Manual
Renault,Kadjar,2016,Crossover,121468.0,1500.0,Diesel,Automatic
Nissan,Qashqai,2014,SUV,128000.0,1500.0,Diesel,Manual
Opel,Astra,2011,Universal,158800.0,1300.0,Diesel,Manual
Volkswagen,Caddy,2012,Minivan,121000.0,1600.0,Diesel,Manual
Mitsubishi,Pajero,2004,SUV,230000.0,3200.0,Diesel,Manual
Mitsubishi,Outlander,2005,Crossover,205000.0,2000.0,Petrol,Manual
BMW,X5,2005,Crossover,11411.0,3000.0,Diesel,Automatic
Lexus,IS Series,2016,Sedan,167299.0,2500.0,Hybrid,Automatic
Ford,Mondeo,2017,Universal,42000.0,1500.0,Diesel,Manual
Hyundai,Tucson,2019,SUV,50000.0,2000.0,Petrol,Automatic
Nissan,Note,2006,Sedan,198000.0,1500.0,Diesel,Manual
Volkswagen,Tiguan,2009,Crossover,123500.0,2000.0,Petrol,Automatic
Fiat,Punto,2000,Sedan,20000.0,103.0,Diesel,Manual
Mercedes,E Class,2003,Sedan,240000.0,2200.0,Diesel,Automatic
Cadillac,Altele,2017,Sedan,87000.0,2000.0,Plug-in Hybrid,Automatic
Honda,CR-V,2002,Universal,263100.0,2000.0,Metan/Propan,Manual
Renault,Captur,2013,Crossover,118000.0,1200.0,Petrol,Automatic
Opel,Vectra,1991,Sedan,267852.0,1600.0,Petrol,Manual
BMW,5 Series,2005,Sedan,250000.0,2500.0,Diesel,Manual
Nissan,Micra,2005,Hatchback,259000.0,1400.0,Petrol,Automatic
Audi,A7,2012,Universal,125000.0,3000.0,Petrol,Automatic
Toyota,Prius,2014,Sedan,123000.0,1800.0,Petrol,Manual
Chevrolet,Volt,2014,Hatchback,80000.0,1400.0,Plug-in Hybrid,Automatic
Volkswagen,Passat,2003,Universal,266000.0,1900.0,Diesel,Automatic
Mercedes,GLE,2016,Crossover,219683.0,2143.0,Diesel,Automatic
Volkswagen,Transporter,2010,Universal,242000.0,2000.0,Diesel,Manual
KIA,Sportage,2017,Crossover,20962.0,2000.0,Petrol,Automatic
Mitsubishi,Outlander,2013,Crossover,215000.0,2000.0,Plug-in Hybrid,Automatic
Mercedes,Series (W124),1991,Sedan,385241.0,2000.0,Petrol,Manual
Skoda,Octavia RS,2006,Hatchback,250000.0,1998.0,Petrol,Manual
Citroen,C4,2008,Minivan,102579.0,2000.0,Metan/Propan,Automatic
Mercedes,S Class,2017,Sedan,180000.0,2925.0,Diesel,Automatic
Opel,Meriva,2011,Hatchback,170000.0,1300.0,Diesel,Manual
Opel,Zafira,2009,Minivan,116000.0,1600.0,Metan/Propan,Manual
Honda,CR-V,2005,Crossover,230000.0,2200.0,Diesel,Manual
KIA,Rio,2006,Hatchback,135000.0,1500.0,Diesel,Manual
Mercedes,E Class,2013,Sedan,240094.0,2149.0,Hybrid,Automatic
Audi,A6,2005,Universal,300000.0,3000.0,Diesel,Automatic
Dacia,Logan,2012,Universal,231870.0,1500.0,Diesel,Manual
Seat,Cordoba,2001,Sedan,266806.0,1400.0,Petrol,Manual
Dacia,Logan,2006,Sedan,350000.0,1400.0,Petrol,Manual
Skoda,Fabia,2005,Universal,220000.0,1400.0,Diesel,Manual
Mercedes,E Class,2012,Sedan,30000.0,1800.0,Metan/Propan,Automatic
Dacia,Logan Mcv,2012,Minivan,200000.0,1500.0,Diesel,Manual
